event,bunker_ssvid,neighbor_ssvid,event_start,event_end,mean_latitude,mean_longitude,median_distance_km,median_speed_knots,event_duration_hr
a9c34682ec1b088a9eb5612a46557261,255805885,412327805,2019-04-24T16:10:00Z,2019-04-24T21:20:00Z,35.58392018,124.4840884,0.406,0.035,5.166666667
248b91745283ab0c1d74c30178a06db7,256128000,215000129,2017-05-17T08:10:00Z,2017-05-17T11:50:00Z,35.96514421,14.62951574,0.173,0.475,3.666666667
d80acdcfe745f22c7142883892f9c155,256128000,215000129,2016-10-03T07:40:00Z,2016-10-03T11:30:00Z,36.01887082,14.60066854,0.146,0.353,3.833333333
7350cd7a223e22ce5f89a479ce334cb4,256157000,306012000,2019-12-12T12:30:00Z,2019-12-12T16:10:00Z,1.482547369,-3.80342079,0.159,1.72,3.666666667
fa1dd173f1e00b4e1a6d01374bb88734,256223000,271043920,2015-06-28T11:00:00Z,2015-06-28T13:20:00Z,35.78099393,33.04686223,0.031,0.005,2.333333333
b837b05a25dcf0c79f8428c3fa85360f,256310000,601175000,2016-10-15T06:00:00Z,2016-10-15T08:10:00Z,-33.83227726,18.209241,0.186,1.042,2.166666667
171faf6c2c8605cc425e3a1afdb1f201,256337000,209564000,2015-02-07T04:20:00Z,2015-02-07T08:10:00Z,34.49515764,33.28875971,0.036,0.855,3.833333333
81589144513e10203418cda5a2dadce8,256699000,440154740,2018-05-27T12:50:00Z,2018-05-27T18:50:00Z,34.32105016,128.4748469,0.47,0.024,6
d12ab78194458c9e47815e43998325ad,256958000,601175000,2019-01-17T11:00:00Z,2019-01-17T13:30:00Z,-33.8447102,18.24072315,0.088,0.512,2.5
8ed3e68f14437919dffe1b1360115bb1,257008000,257771600,2016-08-26T17:10:00Z,2016-08-26T22:00:00Z,70.47822319,23.6271613,0.021,0.003,4.833333333
b2701178d5ae4a578a42f16e5a5e1ef2,257008000,258349500,2017-07-07T03:10:00Z,2017-07-07T10:00:00Z,61.15526328,5.133835029,0.28,0.005,6.833333333
52a1e13efeb47a6cef264c491b3a2776,271042520,601175000,2019-06-23T20:40:00Z,2019-06-24T00:00:00Z,-33.82916101,18.21246277,0.061,0.491,3.333333333
4fdf639926c9a9dbf6eb2bec1e886068,273000000,273370370,2015-08-10T08:40:00Z,2015-08-10T13:30:00Z,44.55068197,34.31988886,0.146,0.028,4.833333333
c9906c9d2611211215efa360c380137e,273168000,273290500,2018-11-23T03:40:00Z,2018-11-23T08:50:00Z,55.9663963,143.2725702,0.041,1.238,5.166666667
a677b104467e736f4d7112fae0cd89f5,273168000,200016826,2017-11-27T20:30:00Z,2017-11-27T23:10:00Z,39.85436314,147.4953674,0.035,1.986,2.666666667
a70ec3d225b1c4dd235a600448e1781d,273340490,273290500,2018-04-10T03:50:00Z,2018-04-10T09:10:00Z,58.48256708,156.083901,0.058,1.098,5.333333333
64d613ffe1b26908e71514addafaf117,273356540,273446030,2019-01-08T07:10:00Z,2019-01-08T11:30:00Z,56.15641186,162.3225999,0.033,0.02,4.333333333
d1646cf2ff07ea083b679645141ac697,273356540,273446030,2018-11-13T06:40:00Z,2018-11-13T10:00:00Z,60.22765167,165.7757512,0.04,0.013,3.333333333
665aa2f8c16c60baa6c2aeddf04840e5,273356730,273817300,2016-10-05T03:50:00Z,2016-10-05T06:20:00Z,49.2371173,140.3527663,0.032,0.023,2.5
