event,carrier_mmsi,neighbor_mmsi,event_start,event_end,mean_latitude,mean_longitude,median_distance_km,median_speed_knots,event_duration_hr
528a4e29ace82f4e0eec9d3d66eca107,273354740,273435250,2013-10-06T17:10:00Z,2013-10-07T04:10:00Z,52.04151503,143.5413036,0.033,0.612,11
ce7f37ca37d0305bd0144b6e2e1d0214,273354740,273435250,2017-09-03T22:50:00Z,2017-09-05T18:40:00Z,55.89890554,143.0449459,0.046,0.408,43.83333333
30e8218b2ad66ef61a4649e168c9da81,273354740,273435250,2018-03-02T15:40:00Z,2018-03-02T19:50:00Z,57.61004815,150.6648393,0.042,0.68,4.166666667
6fadf3187098d914c823b976079a480b,273354740,273435250,2018-03-04T00:10:00Z,2018-03-04T07:10:00Z,57.52789434,150.1726979,0.044,0.485,7
de917a02ea84204aeb084b67d33fd62d,273354740,273435250,2017-01-25T22:10:00Z,2017-01-27T07:10:00Z,52.55830252,155.3494885,0.043,0.828,33
69e56555fce8f9e49149f17d1e0f1a62,273354740,273435250,2017-12-29T06:20:00Z,2017-12-31T00:50:00Z,52.61595703,156.0371739,0.045,0.036,42.5
8b1ef1266a6705dab30947dfc765bc4a,273354740,273440690,2018-12-28T04:00:00Z,2018-12-28T23:30:00Z,36.19865533,141.0333444,0.06,1.103,19.5
3f8309098a045220a3ef83e732126b24,273354740,273440720,2016-04-10T20:50:00Z,2016-04-11T21:20:00Z,55.66748249,143.6118493,0.045,0.395,24.5
ec2b77e9fa3d908739d889bc0a09f66c,273354740,273442270,2015-10-22T08:30:00Z,2015-10-22T13:40:00Z,62.3006259,177.1383401,0.038,0.014,5.166666667
61e7616b70f444fd88b417c5171c44b7,273354740,273442270,2016-08-29T17:40:00Z,2016-08-30T16:40:00Z,63.57517279,179.4246719,0.02,0.007,23
8b10b7efe20245d8faaebeffe6c26b6f,273354740,273442400,2015-10-19T13:40:00Z,2015-10-19T18:30:00Z,62.31349409,177.1638987,0.043,0.012,4.833333333
